invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_84bc78f5490a4b35907aa69d83c2f716,job_b79bca759e26487eac9381c565b1e9b0,5173,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_84bc78f5490a4b35907aa69d83c2f716,job_b79bca759e26487eac9381c565b1e9b0,5173,Service Calls - Repairs & Part Installation - Tier 1 Repair - Cool Compressor,labor,1.0,49.0,49.0
invoice_34f5f7db5d7b48f6bb2bc3f3074466ce,job_7c00a129207f41eeaec6ba11222ed05d,5172,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,New System Installation - System Installation,labor,1.0,1928.0,1928.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,2 Ton Mitsubishi Multi Zone Mini-Split-Outdoor unit,material,1.0,6183.0,6183.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,1.5 Ton Mitsubishi Indoor Unit,material,1.0,1053.0,1053.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,.5 Ton Mitsubishi Mini-Split Indoor Unit,material,1.0,653.0,653.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,Add Ons - Line Set Protection,material,1.0,124.0,124.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,Line Hide,material,1.0,235.0,235.0
invoice_818fa7d60b734265aeb65200fe3dafda,job_8ef4d26cd8e64fbb9f814d1eae9d7a41,5171,Passive Air Returns,material,2.0,236.0,472.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,New System Installation - System Installation,labor,1.0,1584.0,1584.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,2.5 Ton - BUDGET 14 - Trane 2.5 Ton 14.3 Seer2 (15 SEER) Heat Pump System,material,1.0,8694.0,8694.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,Add Ons - Concrete Pad,material,1.0,256.0,256.0
invoice_5e270f95a24f49889182734644d06de6,job_18dc255cfa0b4d54b62efc3e5baf4ec2,5170,Add Ons - Drain package,material,1.0,280.0,280.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,New Construction - New Construction,labor,320.0,39.0,12480.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,4 Ton - BUILDER 14 - RunTru 4 Ton 14.3 Seer2 (15 SEER) Heat Pump System,material,1.0,6956.0,6956.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,3.5 Ton - BUILDER 14 - RunTru 3.5 Ton 14.3 Seer2 (15 SEER) Heat Pump System,material,1.0,5963.0,5963.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,2.5 Ton - BUILDER 14 - RunTru 2.5 Ton 14.3 Seer2 (15 SEER) Heat Pump System,material,1.0,5402.0,5402.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,New Construction - Rough-In & Trim-Out - 3.5-4T,material,2.0,4495.0,8990.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,New Construction - Rough-In & Trim-Out - 2.5-3T,material,1.0,3395.0,3395.0
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,New Construction - Kitchen Ventilation,material,1.0,338.0,338.0
